New York City	NY	10060	3 Glendale Circle		Crawford	Charles	1-(646)653-0096	ccrawforda9@360.cn
New York City	NY	10079	10 Goodland Road		Reynolds	Marilyn	1-(212)909-5058	mreynoldso9@hugedomains.com
New York City	NY	10090	83214 Emmet Avenue		Daniels	Christopher	1-(212)209-9405	cdanielsrh@whitehouse.gov
New York City	NY	10105	18 5th Way		Welch	Matthew	1-(917)717-5799	mwelchps@de.vu
New York City	NY	10110	1750 Transport Street		Morgan	Walter	1-(646)588-4850	wmorgan1g@ning.com
New York City	NY	10110	2 Division Place		Powell	George	1-(646)620-2436	gpowellr4@zdnet.com
New York City	NY	10110	9053 Schlimgen Plaza		Ray	Joan	1-(646)184-2601	jray66@domainmarket.com
New York City	NY	10125	13306 Karstens Drive		James	Amanda	1-(212)688-3120	ajamesgv@cocolog-nifty.com
New York City	NY	10160	03 Brown Alley		Wheeler	Alan	1-(212)202-6127	awheelerav@about.me
New York City	NY	10165	7 Ramsey Court		Elliott	Randy	1-(917)287-7707	relliotti7@imgur.com
New York City	NY	10280	9267 Larry Way		Johnston	Raymond	1-(347)621-9689	rjohnstongr@psu.edu
New York City	NY	10292	63 Hazelcrest Avenue		Murray	Martin	1-(212)165-8705	mmurray3h@goo.gl
Staten Island	NY	10305	24 Reindahl Parkway		Jones	Julie	1-(718)198-3488	jjonesoa@oakley.com
Staten Island	NY	10305	17 Glacier Hill Place		Montgomery	Paul	1-(718)712-8725	pmontgomerybk@bbb.org
Staten Island	NY	10310	50953 Trailsway Avenue		Bryant	Jesse	1-(718)875-0513	jbryantb4@histats.com
Bronx	NY	10454	76 Golf Crossing		Carroll	Bruce	1-(718)961-8686	bcarroll40@meetup.com
Bronx	NY	10459	764 Blue Bill Park Center		Lopez	Jerry	1-(718)488-5871	jlopezf@blog.com
Bronx	NY	10464	91676 Atwood Alley		Taylor	Catherine	1-(718)252-2619	ctaylor78@usa.gov
Bronx	NY	10469	7376 Amoth Circle		Morgan	Beverly	1-(718)863-0261	bmorganbh@upenn.edu
Bronx	NY	10469	884 Sycamore Crossing		Sanders	Edward	1-(917)538-6886	esandersfu@reddit.com
White Plains	NY	10633	0 Prairieview Park		Simpson	Debra	1-(845)185-7086	dsimpsonpm@seattletimes.com
Yonkers	NY	10705	63824 Petterle Terrace		Adams	Louis	1-(914)978-8059	ladamsei@reference.com
New Hyde Park	NY	11044	29897 Shopko Plaza		Hernandez	Mary	1-(516)518-4702	mhernandezmy@aboutads.info
Brooklyn	NY	11205	0010 Hoepker Terrace		Harris	Phyllis	1-(718)288-6930	pharrisg3@macromedia.com
Brooklyn	NY	11215	4 Anderson Place		Ruiz	Denise	1-(646)317-7849	druiz2j@flickr.com
Brooklyn	NY	11220	754 Tennessee Junction		Daniels	Diana	1-(718)745-8589	ddanielslh@upenn.edu
Brooklyn	NY	11231	703 Beilfuss Drive		Hall	Fred	1-(718)633-7983	fhalla6@cnet.com
Brooklyn	NY	11231	0961 Mayfield Lane		Mcdonald	Deborah	1-(718)345-4419	dmcdonaldba@princeton.edu
Brooklyn	NY	11241	3778 Fallview Point		Tucker	James	1-(347)147-8074	jtuckeric@mit.edu
Brooklyn	NY	11247	563 Mcbride Plaza		Hudson	Bobby	1-(212)912-1140	bhudsoniz@time.com
Brooklyn	NY	11247	8 Gale Point		Pierce	Doris	1-(212)989-0081	dpiercejp@imageshack.us
Flushing	NY	11355	962 Westport Alley		King	Steve	1-(347)609-4048	sking9j@sourceforge.net
Jamaica	NY	11431	74 Helena Trail		Johnston	Douglas	1-(212)508-3169	djohnstona5@fema.gov
Jamaica	NY	11447	2 Tomscot Plaza		Henderson	Philip	1-(917)693-9360	phenderson6y@edublogs.org
Jamaica	NY	11499	72307 Towne Circle		Wright	Shawn	1-(212)813-2005	swrightmh@mapquest.com
Albany	NY	12210	3009 Truax Pass		Palmer	Johnny	1-(518)647-0016	jpalmerrc@oaic.gov.au
Minneapolis	MN	55407	4 Vera Hill		Watkins	Walter	1-(612)793-2595	wwatkinsh0@php.net
Minneapolis	MN	55412	4703 Lawn Park		Hill	Brian	1-(612)789-5901	bhillcc@deliciousdays.com
Minneapolis	MN	55448	75336 Schlimgen Place		Allen	Julie	1-(612)979-2452	jallen93@cloudflare.com
Minneapolis	MN	55458	62206 Sachs Circle		Gibson	Cheryl	1-(612)346-4326	cgibson43@vinaora.com
Minneapolis	MN	55458	8 Corben Street		Richards	Diana	1-(612)237-8566	drichardsbf@sogou.com
Minneapolis	MN	55480	644 Reinke Lane		Hudson	Ryan	1-(612)261-1023	rhudson5z@surveymonkey.com
Young America	MN	55551	983 Mallard Hill		Johnston	Martin	1-(952)989-7936	mjohnstonlt@biblegateway.com
Young America	MN	55551	31765 Lillian Park		Williams	Mark	1-(952)520-2212	mwilliams7r@livejournal.com
Young America	MN	55564	146 Reindahl Point		Graham	Ashley	1-(952)466-3161	agrahamas@sbwire.com
Maple Plain	MN	55579	231 Tennessee Hill		Ellis	Judith	1-(952)104-1962	jellisbb@ibm.com
Maple Plain	MN	55579	0349 Holmberg Parkway		Howard	Ryan	1-(952)854-8290	rhowardgw@soundcloud.com
Duluth	MN	55811	9 Debs Trail		Franklin	Walter	1-(218)239-1860	wfranklina2@ifeng.com
Rochester	MN	55905	34166 Service Hill		Hansen	Mark	1-(507)378-2280	mhansenpl@linkedin.com
Saint Cloud	MN	56372	10 Scofield Way		Romero	Harold	1-(320)921-2700	hromero94@psu.edu
Sioux Falls	SD	57105	472 Kensington Junction		Miller	Chris	1-(605)898-3765	cmillerk8@google.fr
Grand Forks	ND	58207	6785 Katie Plaza		West	Charles	1-(701)589-1177	cwestj5@nifty.com
Billings	MT	59112	6993 Mandrake Trail		Spencer	Helen	1-(406)961-9791	hspencerj1@odnoklassniki.ru
Helena	MT	59623	430 Mitchell Place		Matthews	Wanda	1-(406)892-3669	wmatthewshv@mashable.com
Palatine	IL	60078	15405 Towne Trail		Bell	Victor	1-(847)163-6995	vbelljd@noaa.gov
Palatine	IL	60078	94 Hintze Road		Hayes	Angela	1-(847)544-4294	ahayes80@rediff.com
Evanston	IL	60208	2213 Ronald Regan Avenue		Cooper	Justin	1-(847)493-6867	jcooperlm@upenn.edu
Naperville	IL	60567	17 Holy Cross Park		Spencer	Kathryn	1-(630)806-9250	kspencerf2@over-blog.com
Chicago	IL	60614	1 Walton Point		Kennedy	Ashley	1-(312)428-3984	akennedyal@tinyurl.com
Chicago	IL	60630	1 Westridge Road		Edwards	Roy	1-(847)650-5951	redwardsha@google.com
Chicago	IL	60636	40 Susan Court		Cruz	Brenda	1-(312)696-3503	bcruzbm@ustream.tv
Chicago	IL	60636	7 Laurel Road		Jordan	Andrew	1-(773)647-3802	ajordaniw@senate.gov
Chicago	IL	60641	32113 Randy Street		Fowler	Patrick	1-(630)858-5776	pfowler5l@hc360.com
Chicago	IL	60652	18835 Derek Plaza		Nichols	Harold	1-(773)759-6455	hnicholsqn@ted.com
Chicago	IL	60657	3256 Walton Terrace		Garza	Christine	1-(773)448-6444	cgarzanv@wikimedia.org
Chicago	IL	60657	67 Birchwood Street		Richardson	Roger	1-(773)850-9304	rrichardson1l@hatena.ne.jp
CITY	STATE	ZIP	Delivery	Second	LastName	FirstName	Phone	Email
Portsmouth	NH	214	11146 Schiller Drive		Lawrence	Gregory	1-(603)437-8450	glawrenceay@huffingtonpost.com
Portsmouth	NH	214	539 Summit Avenue		Young	Benjamin	1-(603)935-3606	byoung42@sogou.com
Springfield	MA	1105	395 Esker Plaza		Brooks	Gloria	1-(413)500-8548	gbrookski@sciencedirect.com
Springfield	MA	1152	03723 Golden Leaf Crossing		Lewis	Angela	1-(413)583-9809	alewis17@rakuten.co.jp
Springfield	MA	1152	4204 Calypso Pass		Nelson	Melissa	1-(413)631-7886	mnelsone2@diigo.com
Woburn	MA	1813	1482 Cherokee Road		Johnston	Sarah	1-(339)341-6407	sjohnstongm@prlog.org
Lynn	MA	1905	93 Hayes Drive		Matthews	Clarence	1-(781)311-7822	cmatthews52@devhub.com
Lynn	MA	1905	46422 Spaight Place		Parker	Alan	1-(339)504-7047	aparkerpy@mail.ru
Boston	MA	2109	8043 Bay Court		Wagner	Shirley	1-(617)115-6619	swagner7s@elpais.com
Boston	MA	2119	4034 Scott Way		Armstrong	John	1-(978)239-2619	jarmstronge@google.co.jp
Boston	MA	2119	08 Mallory Street		Carroll	Antonio	1-(508)306-8367	acarrollqp@youtu.be
Boston	MA	2119	8 Monterey Street		Cole	Anthony	1-(978)468-7203	acoleqh@istockphoto.com
Boston	MA	2163	6 Warner Lane		Johnson	Scott	1-(857)203-0042	sjohnsonni@mozilla.org
Boston	MA	2203	9973 Glendale Junction		Palmer	Nancy	1-(617)567-3481	npalmerlb@twitpic.com
Boston	MA	2208	4 Warner Circle		Freeman	Shirley	1-(617)215-8187	sfreeman3d@1688.com
Boston	MA	2216	8 1st Court		Hunt	Lisa	1-(617)297-6600	lhuntfb@blogspot.com
Boston	MA	2283	31 Clarendon Alley		Hamilton	Emily	1-(617)780-1065	ehamiltonfa@answers.com
Brockton	MA	2405	45194 Artisan Drive		Hudson	Antonio	1-(508)157-4687	ahudsonm@hhs.gov
Brockton	MA	2405	4778 Lien Park		Murray	Clarence	1-(508)406-9279	cmurrayl@reverbnation.com
Watertown	MA	2472	2 Nancy Drive		Peters	Denise	1-(978)425-7527	dpetersd6@prnewswire.com
New Bedford	MA	2745	09 Brown Court		Willis	Gerald	1-(508)706-9930	gwillisnh@drupal.org
Providence	RI	2905	57136 David Lane		Cook	Jose	1-(401)972-4030	jcookbg@thetimes.co.uk
Providence	RI	2912	7 David Parkway		Howell	Roy	1-(401)105-1858	rhowell81@oaic.gov.au
Providence	RI	2912	80597 Graceland Road		Snyder	Harry	1-(401)683-0259	hsnyderpb@cnn.com
Portland	ME	4109	66 Fuller Plaza		Morgan	Norma	1-(207)927-5049	nmorganpq@ycombinator.com
Montpelier	VT	5609	58 North Circle		Thompson	Howard	1-(802)468-9906	hthompson59@independent.co.uk
Hartford	CT	6120	4 John Wall Crossing		Carter	Randy	1-(860)892-5343	rcartermp@live.com
West Hartford	CT	6127	1 Stuart Place		Oliver	Kathleen	1-(860)943-3712	koliverj2@google.pl
Hartford	CT	6140	0 Mosinee Park		Reed	Betty	1-(860)491-4937	breed3w@reverbnation.com
Hartford	CT	6183	3 Myrtle Terrace		Clark	Judith	1-(860)665-0205	jclarkds@amazon.co.uk
New Haven	CT	6505	790 Roxbury Avenue		Gilbert	Peter	1-(203)191-2514	pgilbertae@wordpress.com
New Haven	CT	6510	1634 Nelson Alley		Jackson	Sara	1-(203)936-3743	sjacksonel@domainmarket.com
New Haven	CT	6510	11 Valley Edge Road		Rogers	Carol	1-(203)618-7597	crogersbx@rambler.ru
New Haven	CT	6520	23 Cambridge Pass		Hawkins	Chris	1-(203)358-3634	chawkins2a@paypal.com
New Haven	CT	6520	0892 Kropf Hill		Rose	Todd	1-(203)546-9562	trose5@cbc.ca
New Haven	CT	6533	651 Birchwood Street		Simpson	Cheryl	1-(203)424-8215	csimpsondn@redcross.org
New Haven	CT	6538	2356 Hoffman Crossing		Banks	Kimberly	1-(203)984-5279	kbanks7c@barnesandnoble.com
New Haven	CT	6538	0 Mendota Road		Henderson	Ernest	1-(203)762-8573	ehendersonkc@bloglovin.com
Bridgeport	CT	6606	46300 Rigney Hill		Hart	David	1-(203)282-8358	dhart3t@slideshare.net
Bridgeport	CT	6673	977 Red Cloud Trail		Jacobs	Julie	1-(203)108-2537	jjacobsfp@yelp.com
Bridgeport	CT	6673	9 Nevada Circle		Torres	Wayne	1-(203)870-5387	wtorresmo@devhub.com
Waterbury	CT	6721	86 Schlimgen Terrace		Romero	Roy	1-(203)381-9471	rromerobc@virginia.edu
Waterbury	CT	6726	8 Redwing Drive		James	Roger	1-(203)513-3587	rjamesag@bizjournals.com
Danbury	CT	6816	4 Vidon Alley		Andrews	Diana	1-(203)192-0463	dandrewsno@google.com.hk
Danbury	CT	6816	934 Prentice Street		Williams	Craig	1-(203)725-0172	cwilliams2m@163.com
Fairfield	CT	6825	66570 Kennedy Terrace		Elliott	Robert	1-(203)311-2252	relliottj6@de.vu
Stamford	CT	6905	63301 Alpine Park		Matthews	Matthew	1-(203)117-3250	mmatthewsgq@1688.com
Stamford	CT	6905	5120 Everett Road		Ruiz	Mark	1-(203)954-0260	mruizrg@howstuffworks.com
Stamford	CT	6922	474 Comanche Center		Flores	Sarah	1-(203)470-7273	sfloresrd@t-online.de
Newark	NJ	7104	90304 Maple Drive		Reed	Stephanie	1-(973)398-1747	sreed49@stanford.edu
Elizabeth	NJ	7208	59697 Sundown Center		Black	Earl	1-(908)391-8381	eblack1p@domainmarket.com
Jersey City	NJ	7310	30 Fieldstone Crossing		Berry	Kathryn	1-(201)105-8852	kberrybt@oracle.com
Trenton	NJ	8619	32 Fair Oaks Road		Hayes	Robin	1-(609)818-4363	rhayes2c@comsenz.com
Trenton	NJ	8650	798 Loftsgordon Avenue		Reynolds	Joan	1-(609)198-6999	jreynoldsfx@booking.com
Trenton	NJ	8695	9187 Maywood Circle		Austin	Heather	1-(609)753-7463	haustin39@wikimedia.org
New Brunswick	NJ	8922	869 Alpine Junction		James	Fred	1-(732)668-4913	fjameshr@economist.com
New York City	NY	10009	6300 Mallard Plaza		Bailey	Mary	1-(917)729-4057	mbaileyin@amazon.co.uk
New York City	NY	10019	617 Nova Alley		Hunt	Daniel	1-(718)100-5339	dhuntid@1688.com
New York City	NY	10019	90 Bartillon Trail		Reyes	Mildred	1-(347)326-1101	mreyesoo@weebly.com
New York City	NY	10024	8 Barnett Place		Burns	Patricia	1-(212)994-8597	pburnsfm@youtu.be
New York City	NY	10024	52 Division Place		Cooper	Deborah	1-(917)589-6216	dcooperdw@cbslocal.com
New York City	NY	10034	4558 Nevada Crossing		Coleman	Lillian	1-(646)216-0805	lcolemanmt@diigo.com
New York City	NY	10060	3 Glendale Circle		Crawford	Charles	1-(646)653-0096	ccrawforda9@360.cn
New York City	NY	10079	10 Goodland Road		Reynolds	Marilyn	1-(212)909-5058	mreynoldso9@hugedomains.com
New York City	NY	10090	83214 Emmet Avenue		Daniels	Christopher	1-(212)209-9405	cdanielsrh@whitehouse.gov
New York City	NY	10105	18 5th Way		Welch	Matthew	1-(917)717-5799	mwelchps@de.vu
New York City	NY	10110	1750 Transport Street		Morgan	Walter	1-(646)588-4850	wmorgan1g@ning.com
New York City	NY	10110	2 Division Place		Powell	George	1-(646)620-2436	gpowellr4@zdnet.com
New York City	NY	10110	9053 Schlimgen Plaza		Ray	Joan	1-(646)184-2601	jray66@domainmarket.com
New York City	NY	10125	13306 Karstens Drive		James	Amanda	1-(212)688-3120	ajamesgv@cocolog-nifty.com
New York City	NY	10160	03 Brown Alley		Wheeler	Alan	1-(212)202-6127	awheelerav@about.me
New York City	NY	10165	7 Ramsey Court		Elliott	Randy	1-(917)287-7707	relliotti7@imgur.com
New York City	NY	10280	9267 Larry Way		Johnston	Raymond	1-(347)621-9689	rjohnstongr@psu.edu
New York City	NY	10292	63 Hazelcrest Avenue		Murray	Martin	1-(212)165-8705	mmurray3h@goo.gl
Staten Island	NY	10305	24 Reindahl Parkway		Jones	Julie	1-(718)198-3488	jjonesoa@oakley.com
Staten Island	NY	10305	17 Glacier Hill Place		Montgomery	Paul	1-(718)712-8725	pmontgomerybk@bbb.org
Staten Island	NY	10310	50953 Trailsway Avenue		Bryant	Jesse	1-(718)875-0513	jbryantb4@histats.com
Bronx	NY	10454	76 Golf Crossing		Carroll	Bruce	1-(718)961-8686	bcarroll40@meetup.com
Bronx	NY	10459	764 Blue Bill Park Center		Lopez	Jerry	1-(718)488-5871	jlopezf@blog.com
Bronx	NY	10464	91676 Atwood Alley		Taylor	Catherine	1-(718)252-2619	ctaylor78@usa.gov
Bronx	NY	10469	7376 Amoth Circle		Morgan	Beverly	1-(718)863-0261	bmorganbh@upenn.edu
Bronx	NY	10469	884 Sycamore Crossing		Sanders	Edward	1-(917)538-6886	esandersfu@reddit.com
White Plains	NY	10633	0 Prairieview Park		Simpson	Debra	1-(845)185-7086	dsimpsonpm@seattletimes.com
Yonkers	NY	10705	63824 Petterle Terrace		Adams	Louis	1-(914)978-8059	ladamsei@reference.com
New Hyde Park	NY	11044	29897 Shopko Plaza		Hernandez	Mary	1-(516)518-4702	mhernandezmy@aboutads.info
Brooklyn	NY	11205	0010 Hoepker Terrace		Harris	Phyllis	1-(718)288-6930	pharrisg3@macromedia.com
Brooklyn	NY	11215	4 Anderson Place		Ruiz	Denise	1-(646)317-7849	druiz2j@flickr.com
Brooklyn	NY	11220	754 Tennessee Junction		Daniels	Diana	1-(718)745-8589	ddanielslh@upenn.edu
Brooklyn	NY	11231	703 Beilfuss Drive		Hall	Fred	1-(718)633-7983	fhalla6@cnet.com
Brooklyn	NY	11231	0961 Mayfield Lane		Mcdonald	Deborah	1-(718)345-4419	dmcdonaldba@princeton.edu
Brooklyn	NY	11241	3778 Fallview Point		Tucker	James	1-(347)147-8074	jtuckeric@mit.edu
Brooklyn	NY	11247	563 Mcbride Plaza		Hudson	Bobby	1-(212)912-1140	bhudsoniz@time.com
Brooklyn	NY	11247	8 Gale Point		Pierce	Doris	1-(212)989-0081	dpiercejp@imageshack.us
Flushing	NY	11355	962 Westport Alley		King	Steve	1-(347)609-4048	sking9j@sourceforge.net
Jamaica	NY	11431	74 Helena Trail		Johnston	Douglas	1-(212)508-3169	djohnstona5@fema.gov
Jamaica	NY	11447	2 Tomscot Plaza		Henderson	Philip	1-(917)693-9360	phenderson6y@edublogs.org
Jamaica	NY	11499	72307 Towne Circle		Wright	Shawn	1-(212)813-2005	swrightmh@mapquest.com
Albany	NY	12210	3009 Truax Pass		Palmer	Johnny	1-(518)647-0016	jpalmerrc@oaic.gov.au
Minneapolis	MN	55407	4 Vera Hill		Watkins	Walter	1-(612)793-2595	wwatkinsh0@php.net
Minneapolis	MN	55412	4703 Lawn Park		Hill	Brian	1-(612)789-5901	bhillcc@deliciousdays.com
Minneapolis	MN	55448	75336 Schlimgen Place		Allen	Julie	1-(612)979-2452	jallen93@cloudflare.com
Minneapolis	MN	55458	62206 Sachs Circle		Gibson	Cheryl	1-(612)346-4326	cgibson43@vinaora.com
Minneapolis	MN	55458	8 Corben Street		Richards	Diana	1-(612)237-8566	drichardsbf@sogou.com
Minneapolis	MN	55480	644 Reinke Lane		Hudson	Ryan	1-(612)261-1023	rhudson5z@surveymonkey.com
Young America	MN	55551	983 Mallard Hill		Johnston	Martin	1-(952)989-7936	mjohnstonlt@biblegateway.com
Young America	MN	55551	31765 Lillian Park		Williams	Mark	1-(952)520-2212	mwilliams7r@livejournal.com
Young America	MN	55564	146 Reindahl Point		Graham	Ashley	1-(952)466-3161	agrahamas@sbwire.com
Maple Plain	MN	55579	231 Tennessee Hill		Ellis	Judith	1-(952)104-1962	jellisbb@ibm.com
Maple Plain	MN	55579	0349 Holmberg Parkway		Howard	Ryan	1-(952)854-8290	rhowardgw@soundcloud.com
Duluth	MN	55811	9 Debs Trail		Franklin	Walter	1-(218)239-1860	wfranklina2@ifeng.com
Rochester	MN	55905	34166 Service Hill		Hansen	Mark	1-(507)378-2280	mhansenpl@linkedin.com
Saint Cloud	MN	56372	10 Scofield Way		Romero	Harold	1-(320)921-2700	hromero94@psu.edu
Sioux Falls	SD	57105	472 Kensington Junction		Miller	Chris	1-(605)898-3765	cmillerk8@google.fr
Grand Forks	ND	58207	6785 Katie Plaza		West	Charles	1-(701)589-1177	cwestj5@nifty.com
Billings	MT	59112	6993 Mandrake Trail		Spencer	Helen	1-(406)961-9791	hspencerj1@odnoklassniki.ru
Helena	MT	59623	430 Mitchell Place		Matthews	Wanda	1-(406)892-3669	wmatthewshv@mashable.com
Palatine	IL	60078	15405 Towne Trail		Bell	Victor	1-(847)163-6995	vbelljd@noaa.gov
Palatine	IL	60078	94 Hintze Road		Hayes	Angela	1-(847)544-4294	ahayes80@rediff.com
Evanston	IL	60208	2213 Ronald Regan Avenue		Cooper	Justin	1-(847)493-6867	jcooperlm@upenn.edu
Naperville	IL	60567	17 Holy Cross Park		Spencer	Kathryn	1-(630)806-9250	kspencerf2@over-blog.com
Chicago	IL	60614	1 Walton Point		Kennedy	Ashley	1-(312)428-3984	akennedyal@tinyurl.com
Chicago	IL	60630	1 Westridge Road		Edwards	Roy	1-(847)650-5951	redwardsha@google.com
Chicago	IL	60636	40 Susan Court		Cruz	Brenda	1-(312)696-3503	bcruzbm@ustream.tv
Chicago	IL	60636	7 Laurel Road		Jordan	Andrew	1-(773)647-3802	ajordaniw@senate.gov
Chicago	IL	60641	32113 Randy Street		Fowler	Patrick	1-(630)858-5776	pfowler5l@hc360.com
Chicago	IL	60652	18835 Derek Plaza		Nichols	Harold	1-(773)759-6455	hnicholsqn@ted.com
Chicago	IL	60657	3256 Walton Terrace		Garza	Christine	1-(773)448-6444	cgarzanv@wikimedia.org
